productId,제목,가격,개수,용량(ml),타겟,URL,평점,리뷰수,향/냄새 만족도(%),지속력 만족도(%)
84195356355, 딥디크 플레르드뽀 오드퍼퓸,178000,1,75,공용,https://smartstore.naver.com/main/products/6650856033,4.92,1877.0,80.0,65.0
82243246039,떼시스 블랑쉬 니치향수 코튼 비누향 베이비파우더 명품 수제 승무원 살냄새 오드퍼퓸,10000,1,30,여성,https://smartstore.naver.com/main/products/4698725205,4.69,35165.0,55.0,57.0
83879217159, 딥디크 오르페옹 오드퍼퓸,181000,1,75,공용,https://smartstore.naver.com/main/products/6334714670,4.94,687.0,82.0,68.0
89243673097,디올 소바쥬 오 드 퍼퓸,122800,1,100,남성,https://smartstore.naver.com/main/products/11699162630,4.63,30.0,74.0,57.0
83103411378,포맨트 포맨 시그니처 퍼퓸 코튼허그  블랙 향수,33990,1,50,남성,https://smartstore.naver.com/main/products/5558915513,4.8,2102.0,69.0,56.0
12256260359,캘빈클라인 CK ONE 향수 오드뚜왈렛 EDT,33800,1,100,공용,https://smartstore.naver.com/main/products/2174933320,4.76,17153.0,61.0,56.0
81562944077,존바바토스 향수 아티산 오드뚜왈렛 EDT,37900,1,75,남성,https://smartstore.naver.com/main/products/4018423684,4.73,12863.0,59.0,57.0
87362894279,춘몽 비누향 살냄새 향수 도플 퍼퓸 플레르드뽀,10900,1,10,공용,https://smartstore.naver.com/main/products/9818392006,4.79,7238.0,68.0,52.0
81486364332,캘빈클라인 향수 CK ONE 오드뚜왈렛 EDT,49800,1,200,공용,https://smartstore.naver.com/main/products/3941844296,4.8,2698.0,67.0,54.0
89213442208, 샤넬 NEW 샹스 오 스플렌디드 오드빠르펭,206000,1,50,여성,https://smartstore.naver.com/main/products/11668931741,5.0,10.0,90.0,70.0
83733231479,뭉클 프리지아 니치 향수 명품 수제 미니어처 휴대용 퍼퓸 (샘플 시향 향수 아님),3900,1,5,여성,https://smartstore.naver.com/main/products/6188731902,4.77,25836.0,57.0,54.0
87443852368, 다니엘트루스 밤쉘 오일 퍼퓸,39000,1,10,공용,https://smartstore.naver.com/main/products/9899350095,4.86,49.0,78.0,64.0
81404701276,버버리 위크앤드 포맨 오드뚜왈렛 EDT,45900,1,100,남성,https://smartstore.naver.com/main/products/3860181270,4.78,3376.0,62.0,57.0
87714024751,클린 웜코튼 향수 오드퍼퓸 EDP  올리브영 비누향,38000,1,60,공용,https://smartstore.naver.com/main/products/10169521409,4.88,241.0,74.0,52.0
11416001184,끌로에 향수 우먼 오드퍼퓸 EDP,84900,1,50,여성,https://smartstore.naver.com/main/products/735973670,4.75,2521.0,64.0,55.0
80914326181,로얄워터 블랑쉬 코튼 비누향 베이비파우더 살냄새 수제 승무원 엑스트레 드 퍼퓸,35000,1,30,여성,https://smartstore.naver.com/main/products/3370895800,4.66,47385.0,53.0,57.0
82203873495,로제르 블랑쉬 니치향수 오드퍼퓸  지속력좋은 비누향 명품 수제 승무원 코튼,29900,2,30,여성,https://smartstore.naver.com/main/products/4659352966,4.75,8890.0,62.0,50.0
81408557777,랑방 향수 에끌라 드 아르페쥬 우먼 오드퍼퓸 EDP,49800,1,100,여성,https://smartstore.naver.com/main/products/3864037764,4.7,10645.0,61.0,57.0
11698783949,제니퍼로페즈 향수 글로우바이제이로 오드뚜왈렛 EDT,42900,1,100,여성,https://smartstore.naver.com/main/products/2018011629,4.79,3146.0,66.0,53.0
12937797584,랑방 향수 모던 프린세스 오드퍼퓸 EDP,27700,1,30,여성,https://smartstore.naver.com/main/products/2355201266,4.82,1492.0,65.0,52.0
