개수,평점,리뷰수,향/냄새 만족도(%),지속력 만족도(%),총 용량,100ml당 가격
1,4.92,0.10932307154101802,80,65,75,237333
1,4.94,0.03993936213631858,82,68,75,241333
1,4.76,1.0,61,56,100,33800
1,4.79,0.42189959769109675,68,52,10,109000
1,4.8,0.15719200046644513,67,54,200,24900
1,4.86,0.0027403649932948517,78,64,10,390000
1,4.88,0.013935047519095096,74,52,60,63333
1,4.9,0.0552154393329835,77,50,14,327142
1,4.76,0.5870794705848055,64,53,30,79333
1,4.85,0.01795813655180456,79,64,75,236666
1,4.91,0.017141857617631626,77,45,50,238000
1,4.94,0.011311293802110664,78,41,75,212000
1,4.86,0.08232756107515597,73,50,125,91920
1,4.87,0.005422424348434494,78,65,100,126500
1,4.73,0.049093347326686486,65,50,100,27400
1,4.84,0.11865197364585155,63,53,100,196900
1,4.87,0.000757973296017725,60,67,50,500000
1,4.89,0.010086875400851262,79,51,100,138700
1,4.96,0.0014576409538802403,89,82,75,211293
1,4.8,0.04926826424115212,65,55,2,50000
1,4.77,0.22768351699609354,62,52,30,92333
1,4.93,0.0015742522301906594,80,59,11,709090
1,4.89,0.002040697335432336,73,49,50,195800
1,4.94,0.0009328902104833539,84,56,30,863333
1,4.91,0.002565448078829223,79,74,1,840000
1,4.91,0.010611626144248149,75,50,50,248000
1,4.95,0.0011078071249489825,77,58,50,302500
1,4.88,0.0033817270130021572,85,47,100,349000
1,4.78,0.0019823916972771267,70,64,50,195800
1,4.56,0.0019823916972771267,70,50,50,135600
1,4.94,0.0026820593551396417,90,69,30,230000
1,4.89,0.01807474782811498,76,55,60,63166
1,5.0,0.00017491691446562882,80,40,30,533333
1,5.0,0.00029152819077604805,100,86,75,211293
1,4.95,0.013876741880939887,75,50,50,103800
1,4.88,0.012885546032301323,82,45,14,327142
1,4.86,0.018541192933356657,75,51,50,194000
1,4.82,0.021922919946358813,72,58,10,380000
1,4.71,0.0027403649932948517,54,56,10,99000
1,4.88,0.20844265640487436,70,53,11,381818
1,5.0,0.0,100,100,75,207733
1,4.87,0.03026062620255379,73,49,11,381818
1,4.86,0.006355314558917848,62,60,60,16666
1,4.77,0.05649816337239811,69,51,50,138000
1,5.0,0.00034983382893125764,100,75,10,890000
1,4.92,0.0028569762696052706,81,42,75,209333
1,4.9,0.26861407498105067,84,60,10,590000
2,4.66,0.03026062620255379,64,57,60,74666
1,4.82,0.005480729986589703,69,61,125,87920
1,4.9,0.003556643927467786,83,56,100,44800
1,4.78,0.006297008920762638,74,56,50,304200
1,4.79,0.4226575709871145,68,52,10,109000
1,4.74,0.003498338289312576,78,60,50,59800
1,4.75,0.0053058130721240744,75,52,10,493900
1,4.93,0.062153810273453444,76,55,30,324000
1,4.88,0.008279400618039764,73,57,50,194000
1,4.67,0.0988863623112355,55,53,30,33333
1,4.89,0.0019823916972771267,62,70,6,725000
1,4.79,0.048160457116203134,73,51,15,288000
1,5.0,0.00011661127631041922,100,100,100,477000
1,5.0,0.0004081394670864673,100,89,75,211293
1,5.0,0.00029152819077604805,100,100,100,148400
1,4.86,0.05743105358288146,78,49,50,44000
2,4.78,0.034750160340504925,70,53,60,37833
1,4.88,0.0008162789341729346,63,57,50,236000
1,5.0,0.00017491691446562882,60,60,75,252000
1,4.98,0.0033817270130021572,89,87,50,356000
2,4.73,0.03906477756399043,62,55,60,24833
2,4.86,0.0019823916972771267,73,53,60,40000
1,4.79,0.4226575709871145,68,52,10,109000
